Dataset,ECTS,EDSC,RelClass,ECDIRE,SR1-CF1,ECEC,ELECTS
FiftyWords,72.96000000,58.89000000,92.20000000,40.30000000,37.02000000,47.79000000,
Adiac,59.09000000,84.55000000,96.04000000,38.54000000,53.84000000,30.18000000,0.17857143
Beef,76.50000000,93.61000000,25.70000000,47.78000000,57.83000000,68.86000000,
CBF,71.50000000,31.85000000,23.08000000,28.55000000,27.04000000,40.85000000,
ChlorineConcentration,66.07000000,33.33000000,97.59000000,14.42000000,7.71000000,28.01000000,
CinCECGTorso,58.00000000,43.63000000,56.58000000,49.71000000,46.17000000,22.35000000,
Coffee,83.94000000,54.26000000,38.44000000,82.14000000,45.89000000,20.38000000,
CricketX,71.80000000,52.57000000,78.68000000,47.98000000,30.17000000,40.66000000,
CricketY,66.49000000,45.10000000,82.36000000,36.00000000,29.06000000,43.62000000,
CricketZ,67.86000000,56.12000000,80.36000000,45.99000000,37.15000000,46.42000000,
DiatomSizeReduction,14.88000000,27.04000000,33.49000000,24.26000000,10.88000000,16.20000000,
ECG200,60.11000000,23.24000000,68.81000000,90.10000000,10.85000000,10.43000000,
ECGFiveDays,63.82000000,53.60000000,15.84000000,21.07000000,6.34000000,45.71000000,
FaceAll,63.85000000,38.94000000,96.27000000,56.49000000,24.34000000,33.21000000,
FaceFour,72.26000000,47.98000000,34.22000000,22.31000000,20.06000000,32.85000000,
FacesUCR,87.21000000,51.58000000,92.71000000,59.15000000,37.42000000,39.49000000,
Fish,60.94000000,47.70000000,85.42000000,55.17000000,36.94000000,36.26000000,
GunPoint,46.92000000,45.58000000,71.33000000,32.37000000,24.60000000,31.96000000,42.04799675
Haptics,93.87000000,12.53000000,57.89000000,86.52000000,38.17000000,14.89000000,
InlineSkate,85.08000000,46.69000000,87.31000000,33.83000000,30.49000000,53.24000000,
ItalyPowerDemand,79.33000000,67.08000000,35.92000000,70.16000000,37.11000000,37.64000000,
Lightning2,89.01000000,55.14000000,61.16000000,9.07000000,5.00000000,46.52000000,
Lightning7,86.97000000,68.40000000,85.23000000,19.93000000,13.84000000,53.81000000,
Mallat,69.32000000,39.96000000,44.01000000,45.35000000,45.13000000,40.27000000,
MedicalImages,53.87000000,31.95000000,88.96000000,21.20000000,14.36000000,20.72000000,
MoteStrain,79.06000000,38.08000000,90.94000000,12.10000000,7.78000000,57.48000000,
OliveOil,87.34000000,38.82000000,18.76000000,30.00000000,18.83000000,16.51000000,
OSULeaf,76.59000000,54.38000000,97.10000000,47.52000000,15.04000000,23.01000000,
SonyAIBORobotSurface1,68.49000000,47.03000000,57.70000000,62.26000000,5.00000000,24.86000000,
SonyAIBORobotSurface2,54.54000000,35.51000000,70.86000000,17.66000000,12.79000000,24.13000000,
StarLightCurves,82.25000000,,90.02000000,53.10000000,11.92000000,15.90000000,
SwedishLeaf,76.27000000,62.34000000,91.96000000,45.97000000,25.42000000,26.87000000,
Symbols,51.30000000,60.25000000,45.82000000,45.33000000,31.79000000,10.40000000,
SyntheticControl,87.88000000,50.81000000,71.54000000,61.92000000,21.90000000,43.69000000,
Trace,50.72000000,38.63000000,77.82000000,42.75000000,35.20000000,39.05000000,
TwoLeadECG,64.43000000,46.85000000,83.63000000,69.38000000,23.56000000,39.79000000,
TwoPatterns,84.52000000,64.04000000,91.82000000,98.76000000,89.50000000,86.57000000,
UWaveGestureLibraryX,85.98000000,64.30000000,90.09000000,74.03000000,46.34000000,58.58000000,
UWaveGestureLibraryY,86.29000000,70.14000000,91.96000000,97.09000000,52.44000000,52.71000000,
UWaveGestureLibraryZ,85.03000000,61.18000000,91.80000000,75.56000000,45.40000000,52.46000000,
Wafer,44.38000000,27.99000000,30.75000000,10.87000000,6.38000000,5.03000000,
WordSynonyms,82.51000000,65.66000000,91.40000000,66.23000000,40.25000000,54.51000000,
Yoga,69.41000000,38.57000000,87.28000000,100.00000000,10.87000000,32.47000000,
NonInvasiveFatalECGThorax1,78.22000000,,93.47000000,64.33000000,14.43000000,11.63000000,
NonInvasiveFatalECGThorax2,76.84000000,,92.16000000,56.89000000,16.32000000,9.67000000,
